endpoint_id,endpoint_name,account_id,last_seen_at
,A-STAFF2.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:19:28.733999394Z
,ADMON-PRIMARY.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:21:33.860023604Z
,Admon06.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:14:28.484778688Z
,Admon07.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:54:20.859128182Z
,ADMON17,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:59:37.974257149Z
,Admon18.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:24:57.097520161Z
,Admon20.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T14:35:24.241538817Z
,Admon21.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:48:55.196096409Z
,ADMON22.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:10:00.193440165Z
,ADMON23.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:58:42.28971427Z
,Admon25.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T10:07:47.884454447Z
,ADMON30.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T16:43:02.718341927Z
,Admon34.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:06:41.959859343Z
,ADMON36.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T21:35:40.159351611Z
,Admon37.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:31:48.762831727Z
,Admon41.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:04:52.228467198Z
,Admon42.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T01:24:15.643711801Z
,Admon43.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:44:34.200468244Z
,Admon44.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-15T20:08:20.64146688Z
